UID;Polygon_ID;annee;numero;departement;code_insee;nom_de_la_commune;date_de_premiere_alerte;origine_de_lalerte;moyens_de_premiere_intervention;surface_parcourue_m2;surface_parcourue_ha;Polygon_area_ha;surface_foret_m2;surface_maquis_garrigues_m2;autres_surfaces_naturelles_hors_foret_m2;surfaces_agricoles_m2;autres_surfaces_m2;surface_autres_terres_boisees_m2;surfaces_non_boisees_naturelles_m2;surfaces_non_boisees_artificialisees_m2;surfaces_non_boisees_m2;precision_des_surfaces;surface_de_feu_a_larrivee_des_secours_0_1_ha;voie_carrossable_la_plus_proche;activite_ou_habitation_la_plus_proche;type_de_peuplement;connaissance;source_de_lenquete;nature;intervention_de_lequipe_rcci;deces_ou_batiments_touches;nombre_de_deces;nombre_de_batiments_totalement_detruits;nombre_de_batiments_partiellement_detruits;hygrometrie_percent;vitesse_moyenne_du_vent_km_h;direction_du_vent;temperature_c;precision_de_la_donnee;presence_dun_contour_valide
B-2017-02386;A-081;2017;12050;2B;2B188;Olmeta-di-Tuda;2017-07-24T12:49:00Z;Indéterminé;NA;21180000;2118,0000;2055,895827000;1380000;18900000;NA;NA;NA;NA;NA;NA;900000;NA;NA;4;3;1;Probable;Coordinateur;Malveillance;Oui;Non;NA;NA;NA;NA;100;NA;NA;NA;Non
B-2019-00115;NA;2019;229;974;97419;Sainte-Rose;2019-01-20T10:56:00Z;Indéterminé;NA;17564165;1756,4165;NA;9361000;NA;8187317;NA;NA;0;8187317;15848;8203165;Mesurées;NA;NA;NA;NA;NA;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02424;A-243;2017;12221;83;83006;Artigues;2017-07-24T21:47:00Z;Population;3;17040000;1704,0000;1628,188967000;15870000;970000;NA;NA;NA;NA;NA;NA;200000;NA;1;2;3;2;Probable;Sapeur-pompier;Malveillance;Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02641;A-091;2017;13571;2B;2B178;Nonza;2017-08-11T00:45:00Z;Indéterminé;NA;16170000;1617,0000;1369,109483000;360000;15370000;NA;NA;NA;NA;NA;NA;440000;NA;NA;4;1;1;Probable;Coordinateur;Malveillance;Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-03059;A-093;2017;15505;2B;2B352;Ville-di-Paraso;2017-10-20T09:27:00Z;Indéterminé;NA;15177800;1517,7800;818,367931200;7800;14970000;NA;NA;NA;NA;NA;NA;200000;NA;NA;4;1;1;Probable;Coordinateur;Malveillance;Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02284;A-254;2017;11720;83;83071;Londe-les-Maures (La);2017-07-25T22:54:00Z;Population;3;14230000;1423,0000;1343,145044000;14230000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;1;Probable;Forestier;Malveillance;Oui;Non;NA;NA;NA;38;35;NO;25;NA;Non
B-2018-01125;A-096;2018;4880;2B;2B293;Sant'Andréa-di-Cotone;2018-01-02T05:13:00Z;Indéterminé;NA;13172400;1317,2400;1110,530337000;5000000;7000000;NA;NA;NA;NA;NA;NA;1172400;NA;NA;2;3;2;Probable;Coordinateur;Involontaire (particulier);Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02419;A-281;2017;12191;84;84010;Bastidonne (La);2017-07-24T10:36:00Z;Vigie-caméra;3;11418100;1141,8100;1097,637338000;10813800;525200;NA;NA;NA;NA;NA;NA;79100;NA;NA;NA;NA;4;Certaine;Forestier;Naturelle;Oui;Non;NA;NA;NA;41;25;NO;25;NA;Non
B-2017-00818;AQ-017;2017;2647;33;33125;Cissac-Médoc;2017-04-20T14:05:00Z;Indéterminé;NA;10755000;1075,5000;886,621382300;10755000;NA;0;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-00929;AQ-018;2017;2970;40;40060;Callen;2017-07-05T15:34:00Z;Indéterminé;NA;4916000;491,6000;423,076151100;0;NA;4916000;NA;NA;4916000;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;Involontaire (particulier);Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-02844;V-062;2019;13771;2B;2B049;Calenzana;2019-02-23T20:03:00Z;Population;NA;11101600;1110,1600;NA;6349200;4719800;NA;NA;NA;NA;NA;NA;32600;NA;NA;4;3;1;Certaine;Coordinateur;Malveillance;Oui;Non;NA;NA;NA;8;39;NE;12;NA;Non
B-2019-00982;AQ-019;2019;3151;40;40332;Ychoux;2019-07-11T14:31:00Z;Indéterminé;NA;1538800;153,8800;146,903870800;1487700;NA;0;NA;NA;0;NA;NA;51100;NA;NA;NA;NA;NA;NA;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-00850;AQ-020;2019;2785;33;33498;Salles;2019-07-16T16:11:00Z;Indéterminé;NA;680000;68,0000;58,239312090;420000;NA;0;NA;NA;0;NA;NA;260000;NA;NA;NA;NA;NA;NA;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-00822;AQ-021;2019;2687;33;33498;Salles;2019-08-04T14:38:00Z;Indéterminé;NA;320000;32,0000;28,984127750;320000;NA;0;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;Naturelle;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2020-01465;AQ-022;2020;6157;33;33536;Le Tuzan;2020-07-27T13:51:00Z;Indéterminé;NA;2897000;289,7000;265,919876000;2897000;NA;0;NA;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2020-02352;V-003;2020;16249;13;13056;Martigues;2020-08-04T17:14:00Z;Patrouille;1;9595100;959,5100;752,440788800;7071300;1457100;NA;NA;NA;NA;NA;NA;1066700;NA;1;2;2;1;Inconnue;NA;NA;Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-02128;Q-008;2019;10698;11;11248;Montirat;2019-08-14T15:57:00Z;Indéterminé;NA;11028800;1102,8800;1034,699262000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02064;Q-011;2017;11097;13;13091;Saint-Cannat;2017-07-15T15:13:00Z;Vigie-caméra;1;7955100;795,5100;580,470951800;6850000;105100;NA;NA;NA;NA;NA;NA;1000000;NA;1;2;2;1;Certaine;Coordinateur;Involontaire (particulier);Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2018-01453;A-097;2018;6297;2B;2B088;Chiatra;2018-01-03T19:44:00Z;Indéterminé;NA;5656800;565,6800;332,784376600;3300000;1700000;NA;NA;NA;NA;NA;NA;656800;NA;NA;2;3;3;Probable;Coordinateur;Accidentelle;Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-03119;A-092;2017;15845;2B;2B124;Ghisoni;2017-10-26T15:37:00Z;Indéterminé;NA;5260000;526,0000;165,010994700;4530000;200000;NA;NA;NA;NA;NA;NA;530000;NA;NA;NA;NA;4;Probable;Coordinateur;Malveillance;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02426;A-258;2017;12223;83;83048;Croix-Valmer (La);2017-07-24T19:29:00Z;Population;3;5060000;506,0000;489,547662000;5060000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;2;3;Probable;Forestier;Involontaire (particulier);Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02764;A-262;2017;13982;83;83069;Hyères;2017-09-02T21:45:00Z;Population;3;4310000;431,0000;407,327806800;4310000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;3;3;Certaine;Service de police et de gendarmerie;Malveillance;Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-01488;A-077;2017;7343;2A;2A041;Bonifacio;2017-05-30T13:43:00Z;Indéterminé;NA;3800000;380,0000;360,922093100;NA;3800000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;1;Certaine;Sapeur-pompier;Involontaire (travaux);Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2020-02101;GEE-070;2020;15150;2B;2B188;Olmeta-di-Tuda;2020-02-10T22:30:00Z;Population;NA;3439400;343,9400;353,033574000;509400;2930000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;1;Probable;Coordinateur;Involontaire (particulier);Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-02057;Q-033_A;2019;10408;30;30128;Générac;2019-08-02T13:53:00Z;Indéterminé;NA;3218771;321,8771;NA;NA;3218771;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;1;NA;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-01317;A-191;2017;7095;11;11379;Sigean;2017-09-06T17:40:00Z;Indéterminé;NA;3357570;335,7570;364,611620800;291300;3034670;NA;NA;NA;NA;NA;NA;31600;NA;NA;NA;NA;NA;NA;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-02589;Q-033_B;2019;12141;30;30128;Générac;2019-07-30T13:26:00Z;Indéterminé;NA;3090840;309,0840;NA;1580100;510340;NA;NA;NA;NA;NA;NA;1000400;NA;NA;1;3;4;NA;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2020-02354;GEE-073;2020;16251;13;13047;Istres;2020-08-24T14:10:00Z;Vigie-caméra;1;3196900;319,6900;234,918049300;2363600;440800;NA;NA;NA;NA;NA;NA;392500;NA;1;1;2;1;Probable;Coordinateur;Involontaire (particulier);Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2020-02403;GEE-074;2020;16353;26;26201;Montguers;2020-08-26T17:08:00Z;Indéterminé;NA;2893900;289,3900;252,869580300;1790000;13900;NA;NA;NA;NA;NA;NA;1090000;NA;NA;3;2;5;Certaine;Coordinateur;Accidentelle;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-00417;Q-040;2019;1611;45;45192;Manchecourt;2019-07-25T14:40:00Z;Indéterminé;NA;2500000;250,0000;NA;300000;NA;0;NA;NA;0;0;2200000;2200000;Estimées;NA;NA;NA;NA;NA;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-00090;Q-041;2019;194;65;65234;Jézeau;2019-02-27T17:26:00Z;Indéterminé;NA;2500000;250,0000;NA;0;NA;2500000;NA;NA;2500000;0;0;0;Estimées;NA;NA;NA;NA;NA;Coordinateur;Accidentelle;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-01913;Q-042_A;2019;9907;34;34143;Loupian;2019-07-26T17:19:00Z;Population;3;121109;12,1109;NA;NA;121109;NA;NA;NA;NA;NA;NA;NA;NA;1;4;3;1;Probable;Coordinateur;Involontaire (particulier);Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-02509;Q-042_B;2019;11913;34;34143;Loupian;2019-09-08T14:37:00Z;Population;3;2370200;237,0200;NA;NA;2370200;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;Certaine;Coordinateur;Involontaire (particulier);Non;Non;NA;NA;NA;25;19;NO;25;NA;Non
B-2017-02597;Q-043;2017;13485;13;13005;Aubagne;2017-08-19T17:31:00Z;Vigie-caméra;1;2297000;229,7000;NA;2000000;297000;NA;NA;NA;NA;NA;NA;0;NA;1;2;2;1;Probable;Coordinateur;Malveillance;Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-01787;Q-048;2019;9044;11;11132;Fabrezan;2019-07-15T10:15:00Z;Indéterminé;NA;2092686;209,2686;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2020-00458;Q-337;2020;2414;45;45335;Vienne-en-Val;2020-07-27T15:35:00Z;Indéterminé;NA;2400000;240,0000;91,943635400;1200000;NA;1200000;NA;NA;1200000;0;0;0;Mesurées;NA;NA;NA;NA;NA;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02449;Q-052_A;2017;12489;34;34285;Saint-Pons-de-Mauchiens;2017-08-09T11:32:00Z;Indéterminé;2;1965100;196,5100;NA;270000;1660000;NA;NA;NA;NA;NA;NA;35100;NA;1;3;3;1;Certaine;Coordinateur;Involontaire (travaux);Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02815;Q-052_B;2017;14286;34;34162;Montagnac;2017-09-12T17:01:00Z;Indéterminé;2;44079;4,4079;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;Probable;Sapeur-pompier;Malveillance;Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02948;Q-053;2017;14962;34;34281;Saint-Pargoire;2017-10-06T05:02:00Z;Indéterminé;3;846900;84,6900;303,829143500;NA;846900;NA;NA;NA;NA;NA;NA;NA;NA;1;3;3;1;Probable;Coordinateur;Malveillance;Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-01486;A-076;2017;7341;2A;2A031;Bastelica;2017-03-24T18:47:00Z;Indéterminé;NA;2256000;225,6000;189,153277000;256000;2000000;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;4;Probable;Sapeur-pompier;Malveillance;Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-01992;Q-055_A;2019;10171;7;7131;Lanas;2019-07-13T13:07:00Z;Population;1;1934700;193,4700;NA;NA;1934700;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;Inconnue;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-03123;A-134;2017;15890;4;4135;Moustiers-Sainte-Marie;2017-10-22T14:34:00Z;Indéterminé;1;2204500;220,4500;188,841275700;2171000;24400;NA;NA;NA;NA;NA;NA;9100;NA;NA;NA;NA;4;Probable;Forestier;Involontaire (particulier);Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-02907;Q-055_B;2019;14208;7;7183;Pradons;2019-09-02T15:13:00Z;Population;3;140000;14,0000;NA;140000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;3;2;Inconnue;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2018-00211;Q-058;2018;432;46;46045;Cajarc;2018-09-01T15:28:00Z;Indéterminé;NA;1850000;185,0000;NA;0;NA;1850000;NA;NA;1850000;0;0;0;Estimées;NA;NA;NA;NA;NA;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-01246;Q-059_A;2019;6057;6;6062;Fontan;2019-03-12T09:38:00Z;Population;3;1800000;180,0000;NA;1650000;NA;NA;NA;NA;NA;NA;NA;150000;NA;1;3;3;4;Probable;Coordinateur;Involontaire (travaux);Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-01807;Q-059_B;2019;9156;6;6132;Saorge;2019-07-05T21:58:00Z;Population;3;1100000;110,0000;NA;80000;900000;NA;NA;NA;NA;NA;NA;120000;NA;1;3;3;1;Certaine;Coordinateur;Naturelle;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2020-01067;NA;2020;4544;976;97611;Mamoudzou;2020-09-26T15:00:00Z;Indéterminé;NA;2000000;200,0000;NA;2000000;NA;0;NA;NA;0;0;0;0;Mesurées;NA;NA;NA;NA;NA;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-02173;Q-065;2019;10916;34;34226;Quarante;2019-08-14T16:44:00Z;Indéterminé;NA;1717700;171,7700;NA;NA;1717700;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;1;Certaine;Coordinateur;Involontaire (travaux);Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-01407;A-075;2017;7192;2A;2A200;Palneca;2017-08-02T15:48:00Z;Indéterminé;NA;1855000;185,5000;72,198895720;850000;1000000;NA;NA;NA;NA;NA;NA;5000;NA;NA;NA;NA;NA;Probable;Sapeur-pompier;Malveillance;Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-02059;Q-069;2019;10413;30;30341;Vauvert;2019-08-02T13:52:00Z;Indéterminé;NA;1625611;162,5611;NA;1321511;155100;NA;NA;NA;NA;NA;NA;149000;NA;NA;4;3;4;NA;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2020-02256;GEE-075;2020;15851;2B;2B167;Montegrosso;2020-08-27T06:05:00Z;Population;NA;1848200;184,8200;175,219734000;260400;1517500;NA;NA;NA;NA;NA;NA;70300;NA;NA;4;3;1;Certaine;Coordinateur;Malveillance;Oui;Non;NA;NA;NA;39;33;SE;28;NA;Non
B-2020-01213;NA;2020;5081;974;97415;Saint-Paul;2020-11-06T19:03:00Z;Indéterminé;NA;1810000;181,0000;NA;1810000;NA;0;NA;NA;0;0;0;0;Mesurées;NA;NA;NA;NA;NA;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-00146;NA;2019;382;55;55268;Lacroix-sur-Meuse;2019-07-20T14:00:00Z;Indéterminé;NA;1800000;180,0000;NA;50000;NA;0;NA;NA;0;0;1750000;1750000;Estimées;NA;NA;NA;NA;NA;Coordinateur;Involontaire (particulier);Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02190;Q-073_A;2017;11424;13;13056;Martigues;2017-07-26T04:44:00Z;Patrouille;1;1588000;158,8000;NA;1251100;273500;NA;NA;NA;NA;NA;NA;63400;NA;1;2;2;1;Certaine;Coordinateur;Involontaire (particulier);Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-01903;Q-073_B;2017;9583;13;13056;Martigues;2017-06-30T11:03:00Z;Population;1;47500;4,7500;NA;32300;15200;NA;NA;NA;NA;NA;NA;NA;NA;1;2;3;1;Inconnue;NA;NA;Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02194;Q-073_C;2017;11430;13;13056;Martigues;2017-07-26T22:00:00Z;Population;1;44600;4,4600;NA;44600;0;NA;NA;NA;NA;NA;NA;0;NA;1;2;2;1;Probable;Coordinateur;Involontaire (particulier);Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02783;Q-074_A;2017;14055;34;34082;Combaillaux;2017-09-06T15:45:00Z;Patrouille;2;1570400;157,0400;NA;270400;600000;NA;NA;NA;NA;NA;NA;700000;NA;1;4;3;1;Probable;Coordinateur;Malveillance;Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02300;Q-074_B;2017;11812;34;34116;Grabels;2017-07-28T14:39:00Z;Indéterminé;2;68876;6,8876;NA;NA;68876;NA;NA;NA;NA;NA;NA;NA;NA;1;3;3;1;Probable;Coordinateur;Malveillance;Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-01858;NA;2019;9686;34;34110;Galargues;2019-07-15T14:45:00Z;Population;3;1679300;167,9300;NA;100000;370000;NA;NA;NA;NA;NA;NA;1209300;NA;1;3;3;4;Certaine;Coordinateur;Involontaire (particulier);Non;Non;NA;NA;NA;27;24;NE;30;NA;Non
B-2020-02449;GEE-076;2020;16579;83;83002;Aiguines;2020-08-28T15:22:00Z;Population;3;1657400;165,7400;139,191493800;562400;1090000;NA;NA;NA;NA;NA;NA;5000;NA;1;3;3;1;Certaine;Forestier;Naturelle;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2020-01309;GEE-071;2020;5599;64;64024;Anglet;2020-07-30T18:32:00Z;Indéterminé;NA;1650000;165,0000;61,867463290;1000000;NA;650000;NA;NA;650000;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;Malveillance;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02253;A-116;2017;11586;66;66024;Boulou (Le);2017-07-14T18:01:00Z;Vigie-caméra;1;1620000;162,0000;132,385318700;1320000;300000;NA;NA;NA;NA;NA;NA;NA;NA;1;4;3;5;Certaine;Coordinateur;Malveillance;Oui;Non;NA;NA;NA;44;60;N;26;NA;Non
B-2019-01095;NA;2019;3585;27;27183;La Couture-Boussey;2019-07-25T19:57:00Z;Indéterminé;NA;1570000;157,0000;NA;70000;NA;1500000;NA;NA;0;1500000;0;1500000;Estimées;NA;NA;NA;NA;NA;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-00352;Q-087;2019;1339;17;17038;Bedenac;2019-09-04T15:29:00Z;Indéterminé;NA;1450000;145,0000;NA;1450000;NA;0;NA;NA;0;0;0;0;Mesurées;NA;NA;NA;NA;NA;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-02486;Q-092_A;2019;11867;34;34268;Saint-Jean-de-la-Blaquière;2019-09-06T05:55:00Z;Population;3;1408661;140,8661;NA;NA;1408661;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;1;Probable;Coordinateur;Malveillance;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-02079;Q-092_B;2019;10473;34;34268;Saint-Jean-de-la-Blaquière;2019-08-08T11:27:00Z;Population;3;149615;14,9615;NA;NA;149615;NA;NA;NA;NA;NA;NA;NA;NA;1;4;3;1;Probable;Coordinateur;Malveillance;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-01351;Q-097;2019;6604;6;6042;Clans;2019-03-05T18:33:00Z;Population;3;1370000;137,0000;NA;520000;210000;NA;NA;NA;NA;NA;NA;640000;NA;1;3;3;1;Probable;Coordinateur;Malveillance;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2018-00891;Q-102;2018;3229;65;65056;Ayzac-Ost;2018-04-24T14:52:00Z;Indéterminé;NA;360000;36,0000;NA;0;NA;360000;NA;NA;360000;0;0;0;Estimées;NA;NA;NA;NA;NA;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-02392;Q-105;2019;11549;11;11041;Bize-Minervois;2019-09-06T16:54:00Z;Indéterminé;NA;1239230;123,9230;NA;780068;60016;NA;NA;NA;NA;NA;NA;399146;NA;NA;NA;NA;NA;NA;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-00206;NA;2019;587;55;55350;Montigny-lès-Vaucouleurs;2019-07-24T13:00:00Z;Indéterminé;NA;1360000;136,0000;NA;60000;NA;0;NA;NA;0;0;1300000;1300000;Mesurées;NA;NA;NA;NA;NA;Coordinateur;Involontaire (travaux);Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2020-02306;GEE-072;2020;16017;84;84045;Faucon;2020-08-15T15:00:00Z;Indéterminé;NA;1341500;134,1500;97,328290400;1105100;62400;NA;NA;NA;NA;NA;NA;174000;NA;NA;NA;NA;NA;Inconnue;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Oui
B-2017-02601;A-160;2017;13496;6;6077;Lucéram;2017-08-13T16:35:00Z;Population;1;1320760;132,0760;121,925468700;1020760;300000;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;3;Certaine;Sapeur-pompier;Involontaire (particulier);Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02748;A-059;2017;13939;2A;2A308;Sainte-Lucie-de-Tallano;2017-08-15T11:42:00Z;Population;3;1300000;130,0000;131,423559200;NA;1300000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Probable;Coordinateur;Malveillance;Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-01301;EPHE-142;2019;6340;4;4155;Prads-Haute-Bléone;2019-03-25T12:51:00Z;Indéterminé;1;1264000;126,4000;NA;1253600;8800;NA;NA;NA;NA;NA;NA;1600;NA;NA;1;2;4;Certaine;Forestier;Involontaire (travaux);Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02393;A-082;2017;12071;2B;2B049;Calenzana;2017-08-05T17:42:00Z;Indéterminé;NA;1245584;124,5584;124,492872700;NA;1200000;NA;NA;NA;NA;NA;NA;45584;NA;NA;4;1;1;Certaine;Coordinateur;Malveillance;Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02341;A-078;2017;11930;2A;2A041;Bonifacio;2017-07-17T13:50:00Z;Population;3;1218300;121,8300;107,675376300;NA;1218300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;Certaine;Coordinateur;Involontaire (travaux);Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-00416;NA;2019;1610;45;45257;Pressigny-les-Pins;2019-07-25T12:19:00Z;Indéterminé;NA;1110000;111,0000;NA;500000;NA;610000;NA;NA;0;610000;0;610000;Estimées;NA;NA;NA;NA;NA;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2020-01545;Q-338;2020;6399;33;33230;Lapouyade;2020-09-17T16:06:00Z;Indéterminé;NA;1110000;111,0000;44,386802630;1060000;NA;0;NA;NA;0;NA;NA;50000;NA;NA;NA;NA;NA;NA;NA;Accidentelle;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02642;A-099;2017;13575;2B;2B153;Manso;2017-08-11T15:10:00Z;Indéterminé;NA;1090000;109,0000;122,587411000;1090000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;4;Certaine;Coordinateur;Naturelle;Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-01277;N_2019_005;2019;6164;2B;2B073;Casamaccioli;2019-01-14T20:15:00Z;Indéterminé;NA;1061400;106,1400;NA;111400;250000;NA;NA;NA;NA;NA;NA;700000;NA;NA;3;3;4;Inconnue;NA;NA;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-03292;A-135;2017;17198;4;4174;Saint-Benoît;2017-11-30T13:05:00Z;Indéterminé;NA;1003200;100,3200;80,248459690;981600;5100;NA;NA;NA;NA;NA;NA;16500;NA;NA;NA;NA;2;Probable;Forestier;Involontaire (particulier);Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-00084;EPHE-045;2019;182;65;65428;Sireix;2019-01-04T08:35:00Z;Indéterminé;NA;1000000;100,0000;NA;0;NA;1000000;NA;NA;1000000;0;0;0;Estimées;NA;NA;NA;NA;NA;Coordinateur;Involontaire (travaux);Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-02843;T-163;2019;13760;2B;2B281;Sisco;2019-02-23T13:26:00Z;Indéterminé;NA;996300;99,6300;83,584341990;NA;996300;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;1;Probable;Gestionnaire;Malveillance;Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2017-02192;T-136;2017;11426;13;13072;Peynier;2017-07-26T10:00:00Z;Population;1;964000;96,4000;74,416241080;948400;NA;NA;NA;NA;NA;NA;NA;15600;NA;1;2;2;1;Certaine;Coordinateur;Involontaire (particulier);Oui;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
B-2019-00661;EPHE-044;2019;2178;64;64124;Bidarray;2019-03-03T10:17:00Z;Indéterminé;NA;950000;95,0000;NA;0;NA;950000;NA;NA;950000;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;Involontaire (particulier);Non;Non;NA;NA;NA;NA;NA;NA;NA;NA;Non
