,Chain,Time_Between_Disturbances,Centroid
0,storm -> biotic-dieback,0.0,POINT (829385.2425027918 6979056.015478046)
0,storm -> biotic-dieback,1.0,POINT (583438.4345286903 6978505.430190243)
0,storm -> biotic-dieback,1.0,POINT (583355.855943108 6978403.738172382)
0,storm -> biotic-dieback,0.0,POINT (830673.5542800882 6978610.326630137)
0,biotic-dieback -> fire,3.0,POINT (816408.2362901125 6977667.226642333)
0,biotic-dieback -> biotic-mortality,0.4986301369863014,POINT (804763.9121801794 6977373.639733542)
0,biotic-dieback -> fire,2.0,POINT (818800.8761648654 6977633.278370755)
0,biotic-dieback -> fire,2.0,POINT (818823.3799446336 6977589.21272193)
0,storm -> biotic-dieback,0.4986301369863014,POINT (818856.5538757861 6977550.937560736)
1,biotic-dieback -> fire,1.5013698630136987,POINT (818856.5538757861 6977550.937560736)
0,biotic-dieback -> fire,2.0,POINT (818778.8471748641 6977540.033035906)
0,storm -> biotic-dieback,0.0,POINT (818750.4369222609 6977465.211284688)
1,biotic-dieback -> fire,1.5013698630136987,POINT (818750.4369222609 6977465.211284688)
0,biotic-dieback -> fire,3.0,POINT (816694.3086594193 6977311.242485197)
0,biotic-dieback -> fire,2.0,POINT (817280.2010407695 6977193.9617380155)
0,biotic-dieback -> fire,2.5013698630136987,POINT (817425.6614305938 6977169.050757431)
0,biotic-dieback -> fire,2.0,POINT (817662.4633932213 6977025.035443505)
0,biotic-dieback -> fire,2.0,POINT (817611.4083309502 6976884.802597934)
0,biotic-dieback -> fire,2.0,POINT (817576.0259970987 6976856.234910936)
0,biotic-dieback -> fire,2.0,POINT (817705.9430747613 6976879.802184921)
0,biotic-dieback -> fire,3.5013698630136987,POINT (814551.6763584536 6976219.174605875)
0,biotic-dieback -> fire,1.0,POINT (816456.7355478065 6976179.053516452)
0,biotic-dieback -> biotic-mortality,0.4904109589041096,POINT (613018.5110152977 6975581.593785579)
0,biotic-dieback -> fire,2.0,POINT (817695.5221239175 6976080.725233933)
0,biotic-dieback -> fire,3.5013698630136987,POINT (815655.5002904262 6975969.385261846)
0,storm -> biotic-dieback,0.0,POINT (808165.351478029 6975166.164220726)
0,biotic-dieback -> fire,3.5013698630136987,POINT (827590.3896469091 6975547.008980083)
0,biotic-dieback -> fire,2.5013698630136987,POINT (823193.8556708515 6974608.563395681)
0,storm -> biotic-dieback,0.0,POINT (605106.3199311683 6973936.272466182)
0,storm -> biotic-dieback,0.5013698630136987,POINT (604679.0356059802 6973850.651037558)
0,storm -> biotic-dieback,0.5013698630136987,POINT (604956.4658826242 6973762.507129401)
0,storm -> biotic-dieback,0.5013698630136987,POINT (604592.5960310528 6973768.605427734)
0,storm -> biotic-dieback,0.5013698630136987,POINT (604764.4657377899 6973758.763962259)
0,storm -> biotic-dieback,0.5013698630136987,POINT (604559.3041742459 6973685.6682767775)
0,storm -> biotic-dieback,0.5013698630136987,POINT (604676.2348167523 6973683.705432023)
0,storm -> biotic-dieback,0.0,POINT (604868.0617627962 6973318.673943098)
0,storm -> biotic-dieback,0.0,POINT (604706.0140879378 6973313.437289662)
0,storm -> biotic-dieback,0.5013698630136987,POINT (604405.0579932734 6973252.225595761)
0,storm -> biotic-dieback,0.0,POINT (604885.120772299 6973262.724382184)
0,storm -> biotic-dieback,0.0,POINT (604761.571774944 6973192.4306974495)
0,storm -> biotic-dieback,1.5013698630136987,POINT (756105.305904905 6972536.315810213)
0,storm -> biotic-dieback,0.0,POINT (821185.4290223166 6973612.174560853)
0,storm -> biotic-dieback,0.0,POINT (822431.8073924978 6973089.797516015)
0,storm -> fire,4.501369863013698,POINT (825974.8403265295 6972861.057426853)
0,storm -> fire,3.5013698630136987,POINT (826003.0619599236 6972806.013907202)
0,storm -> biotic-dieback,1.0,POINT (602579.2836255218 6972132.84614122)
0,biotic-dieback -> fire,4.002739726027397,POINT (823117.7228446725 6972631.434016813)
0,storm -> biotic-dieback,0.4986301369863014,POINT (756741.975060534 6971358.5423217835)
0,storm -> biotic-dieback,0.0,POINT (604674.4592808828 6971812.718944289)
0,storm -> biotic-dieback,0.0,POINT (601710.3057714794 6971785.994380613)
0,biotic-dieback -> fire,3.5013698630136987,POINT (823758.4173742703 6972024.05105445)
0,storm -> biotic-dieback,0.0,POINT (833469.8272681988 6972370.521465256)
0,biotic-dieback -> fire,3.0027397260273974,POINT (823849.7617939719 6971805.687970506)
0,biotic-dieback -> biotic-mortality,0.989041095890411,POINT (819393.3654495606 6971497.382129352)
0,storm -> biotic-dieback,0.0,POINT (777545.7445214168 6970508.209854679)
0,biotic-dieback -> fire,2.0,POINT (823079.315750619 6971287.610508547)
0,biotic-dieback -> fire,2.0,POINT (819199.2231542207 6971072.713499372)
0,biotic-dieback -> fire,4.002739726027397,POINT (822783.7260353378 6971009.838959479)
0,biotic-dieback -> fire,4.002739726027397,POINT (822757.3301145472 6970981.4351684)
0,biotic-dieback -> fire,4.002739726027397,POINT (822667.940995431 6970951.671870897)
0,biotic-dieback -> fire,4.002739726027397,POINT (822883.7663462585 6970963.291650957)
0,biotic-dieback -> fire,2.0,POINT (820722.2617725364 6970731.299644131)
0,biotic-dieback -> fire,4.002739726027397,POINT (822769.9339810004 6970814.705457789)
0,biotic-dieback -> fire,1.0,POINT (822617.547474455 6970783.582805123)
0,storm -> biotic-dieback,1.4986301369863013,POINT (626887.9306529495 6969802.036322266)
0,storm -> biotic-dieback,1.0,POINT (807183.0427319871 6970012.405083572)
0,biotic-dieback -> fire,2.5013698630136987,POINT (823782.1697194038 6970224.315500611)
0,biotic-dieback -> fire,2.0,POINT (823854.7768998191 6970198.063542274)
0,biotic-dieback -> biotic-mortality,0.989041095890411,POINT (811129.7705440994 6969487.001299048)
0,storm -> biotic-dieback,0.0,POINT (782212.4477625713 6968511.156489468)
0,biotic-dieback -> biotic-mortality,1.989041095890411,POINT (652353.7800273615 6968074.787860281)
0,storm -> biotic-dieback,0.4986301369863014,POINT (783684.5393453632 6967361.005038108)
0,storm -> biotic-dieback,0.5013698630136987,POINT (601279.7986280912 6967263.1705990685)
0,storm -> biotic-dieback,0.0,POINT (601031.7200826234 6967126.782931245)
0,storm -> biotic-dieback,0.0,POINT (842065.2185634779 6967589.916252527)
0,biotic-dieback -> biotic-mortality,0.4986301369863014,POINT (638779.4911304631 6965964.555042639)
0,storm -> biotic-dieback,0.0,POINT (842054.9850996818 6967350.282367166)
0,storm -> biotic-dieback,0.0,POINT (842749.615989882 6967245.19928808)
0,storm -> biotic-dieback,0.0,POINT (584164.9705817222 6966498.606885507)
0,biotic-dieback -> biotic-mortality,0.4986301369863014,POINT (837345.4777183725 6965938.6999765)
0,storm -> biotic-dieback,0.0,POINT (845616.2779930924 6965786.94580839)
