,year,geometry,class,tree_type,essence,dataset
27,2018,"POLYGON ((242013.0298250664 6744732.303954655, 242015.8757734534 6744702.53787942, 241985.9719485746 6744699.544051051, 241980.28002679656 6744759.076187961, 241950.37618954008 6744756.082337593, 241941.8381693539 6744845.3805171, 242061.45354416763 6744857.35593825, 242069.9915143202 6744768.057682912, 242040.0876891864 6744765.063860619, 242042.93365007237 6744735.297779987, 242013.0298250664 6744732.303954655))",Other,Conifer,maritime pine,senfseidl
28,2018,"POLYGON ((245106.0475089632 6747115.473562494, 245165.8548477876 6747121.460014041, 245168.70147532353 6747091.693292402, 245138.79781213315 6747088.7000776315, 245147.33760762267 6746999.399926569, 245087.53029449907 6746993.413506772, 245081.8370972745 6747052.946916412, 244992.12607221177 6747043.967178486, 244986.43278317922 6747103.500546839, 245016.33647064248 6747106.493814822, 245019.18311925867 6747076.727124756, 245108.89414493158 6747085.706853483, 245106.0475089632 6747115.473562494))",Other,Conifer,"maritime pine,conifers",senfseidl
29,2018,"POLYGON ((245435.0128804057 6747779.487245512, 245375.20545243804 6747773.500735158, 245369.5115251264 6747833.034254413, 245399.41524956987 6747836.027526917, 245402.26221731078 6747806.260761385, 245432.16593351966 6747809.2540181875, 245435.0128804057 6747779.487245512))",Other,Conifer,maritime pine,senfseidl
30,2018,"POLYGON ((239509.72961857717 6747546.822090992, 239512.57757967868 6747517.0565748615, 239482.67302871466 6747514.061407676, 239476.97708137706 6747573.5924263885, 239536.78619608993 6747579.582776781, 239539.6341697069 6747549.817255156, 239509.72961857717 6747546.822090992))",Other,Broadleaf,broadleaf,senfseidl
31,2018,"POLYGON ((230240.01038141077 6752597.783761072, 230180.19722305518 6752591.785411365, 230171.63948128384 6752681.075865348, 230141.73288322467 6752678.07665717, 230124.61691777443 6752856.657506564, 230184.43016097887 6752862.655990662, 230187.28285561467 6752832.892504758, 230217.18946685514 6752835.891726331, 230220.04214032617 6752806.128233263, 230279.85534208367 6752812.126635446, 230282.7079901272 6752782.363128792, 230312.614580645 6752785.362309406, 230315.4672075255 6752755.598795585, 230375.28036783997 6752761.5971158575, 230380.9855538541 6752702.070060302, 230351.07898425468 6752699.070917698, 230353.93155617692 6752669.307395233, 230264.21183577197 6752660.309930487, 230267.06440358015 6752630.546426553, 230237.15782624116 6752627.547259325, 230240.01038141077 6752597.783761072))",Other,Mixed,"broadleaf,maritime pine",senfseidl
32,2018,"POLYGON ((236628.44022644783 6753989.506666171, 236598.53441592958 6753986.509361833, 236595.68235998973 6754016.2742205, 236715.30559513497 6754028.263407075, 236721.00965579355 6753968.733637886, 236631.29226128355 6753959.741800421, 236628.44022644783 6753989.506666171))",Other,Mixed,"maritime pine,nr",senfseidl
33,2018,"POLYGON ((236476.05906047556 6754004.284883636, 236473.2069705223 6754034.049716025, 236592.83028724656 6754046.039078477, 236595.68235998973 6754016.2742205, 236476.05906047556 6754004.284883636))",Other,Conifer,maritime pine,senfseidl
34,2018,"POLYGON ((234643.2386519289 6753910.722203105, 234673.1447415123 6753913.720143389, 234675.9971230193 6753883.955696517, 234646.0910377308 6753880.957762639, 234643.2386519289 6753910.722203105))",Other,Conifer,maritime pine,senfseidl
35,2018,"POLYGON ((234757.15819831647 6753982.242838024, 234727.25211224402 6753979.244913084, 234732.95690857578 6753919.715995796, 234673.1447415123 6753913.720143389, 234667.4399279977 6753973.249035052, 234697.34602213796 6753976.246978763, 234694.49359442637 6754006.011429962, 234724.39968882885 6754009.009370691, 234721.54724858073 6754038.773827603, 234751.45334324706 6754041.771765355, 234757.15819831647 6753982.242838024))",Other,Conifer,maritime pine,senfseidl
36,2018,"POLYGON ((242276.25555490918 6754916.016832069, 242279.10697037686 6754886.250761464, 242309.01206348016 6754889.246340008, 242311.86345790076 6754859.48026239, 242281.95836913108 6754856.484690217, 242284.80975117243 6754826.718618323, 242254.9046627495 6754823.7230431065, 242252.05327637546 6754853.489108631, 242222.1481796322 6754850.493517633, 242219.2967722105 6754880.25957614, 242249.20187328738 6754883.25517351, 242246.35045348527 6754913.021237742, 242276.25555490918 6754916.016832069))",Other,Mixed,"maritime pine,broadleaf",senfseidl
37,2018,"POLYGON ((242096.82488656143 6754898.043124911, 241977.20436124754 6754886.060465209, 241974.35288572492 6754915.826471455, 241944.447740093 6754912.830776627, 241941.59624351753 6754942.596775854, 241911.69108956354 6754939.601065238, 241908.83957193443 6754969.367057449, 241938.74473022303 6754972.362774436, 241933.0416534745 6755031.894769669, 241962.94681644463 6755034.890489988, 241960.0952573262 6755064.656493012, 242019.90557997598 6755070.6479181545, 242017.05401281046 6755100.413933282, 242046.95917249116 6755103.409638106, 242049.81073531974 6755073.643616604, 242139.52617743122 6755082.630655475, 242145.2292269169 6755023.098572317, 242175.13435764186 6755026.094220366, 242177.98585297365 6754996.328171452, 242118.17559620965 6754990.336878681, 242123.87855406664 6754930.804804406, 242093.97342837346 6754927.809156644, 242096.82488656143 6754898.043124911))",Other,Mixed,"maritime pine,broadleaf",senfseidl
38,2018,"POLYGON ((243643.33216603746 6755143.103079846, 243613.42723477609 6755140.10789956, 243604.87332353793 6755229.406961368, 243664.68320814084 6755235.397350705, 243667.53451989306 6755205.630984674, 243637.62958392367 6755202.63580108, 243643.33216603746 6755143.103079846))",Other,Conifer,maritime pine,senfseidl
39,2018,"POLYGON ((230648.23943185306 6755583.596002086, 230642.5311886035 6755643.12315603, 230732.25190143124 6755652.121892704, 230737.96011881728 6755592.59470013, 230648.23943185306 6755583.596002086))",Other,Mixed,mixed,senfseidl
40,2018,"POLYGON ((239309.65992173593 6756572.140959239, 239339.5656726107 6756575.137834528, 239333.8598157355 6756634.668717939, 239363.7655713224 6756637.665596605, 239375.17720058106 6756518.603801765, 239345.27146240458 6756515.606948678, 239342.4185758928 6756545.37239191, 239312.51282937021 6756542.375523015, 239309.65992173593 6756572.140959239))",Other,Mixed,mixed,senfseidl
41,2018,"POLYGON ((229185.52104741696 6756037.870739472, 229215.42822374706 6756040.870884749, 229212.57357382524 6756070.634152517, 229242.48075041542 6756073.634294862, 229239.62608787324 6756103.397568422, 229269.53326472337 6756106.397707834, 229272.38792295172 6756076.634427825, 229362.10941624187 6756085.634770414, 229367.81865601934 6756026.108169746, 229337.91150426987 6756023.1080778325, 229340.76610307494 6755993.344782963, 229310.85895158473 6755990.344688113, 229313.7135377705 6755960.5813990375, 229223.99207191297 6755951.5810775235, 229221.13747279096 6755981.344347254, 229191.23030508508 6755978.344214872, 229185.52104741696 6756037.870739472))",Other,Mixed,"broadleaf,mixed",senfseidl
42,2018,"POLYGON ((230954.25429276266 6756485.735654129, 230957.10882321448 6756455.972011298, 230987.01579122373 6756458.971644963, 230989.87030044338 6756429.207995055, 231019.7772600861 6756432.207612893, 231022.63174807484 6756402.443955908, 230992.72479275678 6756399.444344509, 230995.57926816342 6756369.680693325, 230905.85839092796 6756360.68182212, 230897.2948750697 6756449.972715795, 230927.20185116318 6756452.972368242, 230924.34731638595 6756482.736004628, 230954.25429276266 6756485.735654129))",Other,Mixed,mixed,senfseidl
43,2018,"POLYGON ((229488.80769360933 6756338.74178826, 229399.08615751337 6756329.741431677, 229390.52179039392 6756419.031350916, 229360.6145906365 6756416.031193941, 229357.7597634119 6756445.794492615, 229387.66696748958 6756448.794656044, 229379.102397178 6756538.084567568, 229438.91681910638 6756544.084904963, 229453.19097509002 6756395.26831805, 229483.09815837588 6756398.268440424, 229488.80769360933 6756338.74178826))",Other,Mixed,"mixed,maritime pine",senfseidl
44,2018,"POLYGON ((229498.73122483504 6756550.085204816, 229438.91681910638 6756544.084904963, 229433.20703818742 6756603.611535245, 229522.92866664036 6756612.612009639, 229525.7835525981 6756582.848675471, 229495.8763514862 6756579.848533173, 229498.73122483504 6756550.085204816))",Other,Mixed,"mixed,maritime pine",senfseidl
45,2018,"POLYGON ((238136.03605482378 6757476.263819393, 238138.88968994573 6757446.498633969, 238079.07760092214 6757440.503754825, 238073.37029642978 6757500.034099456, 238103.27635166672 6757503.03155655, 238106.1300079472 6757473.266378123, 238136.03605482378 6757476.263819393))",Other,Mixed,mixed,senfseidl
46,2018,"POLYGON ((229517.21884393063 6756672.138676068, 229547.1260539638 6756675.138828325, 229538.5612058849 6756764.428842544, 229598.37563975644 6756770.4291576, 229604.0855381061 6756710.902456289, 229574.17833184497 6756707.902316353, 229579.88817112107 6756648.375625403, 229520.07376375113 6756642.37534317, 229517.21884393063 6756672.138676068))",Other,Mixed,mixed,senfseidl
47,2018,"POLYGON ((229592.665673683 6756829.955856375, 229622.57289319974 6756832.956012723, 229628.28285062005 6756773.429301044, 229598.37563975644 6756770.4291576, 229592.665673683 6756829.955856375))",Other,Mixed,mixed,senfseidl
48,2018,"POLYGON ((215676.61255758745 6756154.124863491, 215673.75514916057 6756183.885192692, 215703.6643691102 6756186.889847709, 215706.52177326463 6756157.129511987, 215676.61255758745 6756154.124863491))",Other,Conifer,maritime pine,senfseidl
50,2018,"POLYGON ((231215.9296616416 6758164.734120394, 231186.02250310668 6758161.734247961, 231180.31164423912 6758221.261631839, 231240.12597469357 6758227.2613931, 231242.98140387487 6758197.497688558, 231213.07424501737 6758194.497819076, 231215.9296616416 6758164.734120394))",Other,Broadleaf,broadleaf,senfseidl
51,2018,"POLYGON ((237325.19301340904 6759949.339157189, 237319.48266893887 6760008.869188099, 237409.2021571303 6760017.863666818, 237414.91247518722 6759958.333597359, 237325.19301340904 6759949.339157189))",Other,Broadleaf,broadleaf,senfseidl
54,2018,"POLYGON ((239476.3242926232 6763019.882972921, 239473.46789063292 6763049.648463701, 239563.18766275095 6763058.642461208, 239560.3312573369 6763088.407970839, 239590.237844584 6763091.405957539, 239593.09424553852 6763061.640441479, 239623.0008243678 6763064.638412303, 239625.85720406467 6763034.872889384, 239476.3242926232 6763019.882972921))",Other,Mixed,"broadleaf,conifers",senfseidl
55,2018,"POLYGON ((239677.1011781993 6763130.165395851, 239707.0077540729 6763133.163351179, 239709.8641539864 6763103.39780984, 239679.95758257317 6763100.39986094, 239682.81397014944 6763070.634325597, 239623.0008243678 6763064.638412303, 239617.288014578 6763124.169456844, 239587.3814268299 6763121.171473165, 239581.6685409255 6763180.702503128, 239611.57513759442 6763183.70049966, 239614.4315844857 6763153.934978467, 239674.2447570277 6763159.93093033, 239677.1011781993 6763130.165395851))",Other,Mixed,"broadleaf,conifers",senfseidl
56,2018,"POLYGON ((241717.7962641142 6763575.129948201, 241777.60893814615 6763581.124647528, 241780.46515961143 6763551.358659954, 241720.65249452717 6763545.363973464, 241717.7962641142 6763575.129948201))",Other,Conifer,maritime pine,senfseidl
57,2018,"POLYGON ((236831.58215848095 6763205.4945413135, 236840.15318333887 6763116.1997657865, 236780.33919388033 6763110.201935151, 236774.62517634552 6763169.731760166, 236804.5321819653 6763172.730693093, 236801.67515238206 6763202.495611386, 236831.58215848095 6763205.4945413135))",Other,Broadleaf,broadleaf,senfseidl
58,2018,"POLYGON ((236975.40307311714 6763280.018961925, 237035.21705148235 6763286.016724804, 237038.0740791238 6763256.251755834, 236978.26010966767 6763250.254005844, 236975.40307311714 6763280.018961925))",Other,Broadleaf,broadleaf,senfseidl
59,2018,"POLYGON ((236936.92485390214 6763366.314912634, 236966.83186240908 6763369.31382757, 236972.54601972393 6763309.783917573, 236942.63902012823 6763306.785015526, 236936.92485390214 6763366.314912634))",Other,Broadleaf,broadleaf,senfseidl
60,2018,"POLYGON ((241663.52470044064 6764140.683390753, 241660.66813466378 6764170.449357393, 241690.5745632259 6764173.446840192, 241693.43112451932 6764143.680867129, 241663.52470044064 6764140.683390753))",Other,Broadleaf,broadleaf,senfseidl
63,2018,"POLYGON ((236235.91412123735 6764377.867846093, 236233.05631691247 6764407.632649915, 236292.87081908865 6764413.631325354, 236295.72861447255 6764383.866508624, 236235.91412123735 6764377.867846093))",Other,Mixed,mixed,senfseidl
64,2018,"POLYGON ((238827.7315434884 6765058.488400587, 238767.91760622 6765052.491183284, 238762.20227971324 6765112.021888618, 238851.92320662463 6765121.017739043, 238854.78086481983 6765091.252367238, 238824.8738976246 6765088.25376633, 238827.7315434884 6765058.488400587))",Other,Mixed,mixed,senfseidl
65,2018,"POLYGON ((234643.3642105899 6765239.881128786, 234673.27180997207 6765242.881156752, 234676.13039045472 6765213.116682603, 234646.22279555106 6765210.1166611025, 234643.3642105899 6765239.881128786))",Other,Broadleaf,broadleaf,senfseidl
66,2018,"POLYGON ((234706.03798138304 6765216.116694656, 234703.1794053798 6765245.881175271, 234733.08699681284 6765248.881184342, 234735.94556833676 6765219.116697263, 234706.03798138304 6765216.116694656))",Other,Broadleaf,broadleaf,senfseidl
67,2018,"POLYGON ((234670.41321259906 6765272.6456305105, 234700.32081248664 6765275.645655497, 234703.1794053798 6765245.881175271, 234673.27180997207 6765242.881156752, 234670.41321259906 6765272.6456305105))",Other,Broadleaf,broadleaf,senfseidl
68,2018,"POLYGON ((225354.65572295903 6764487.99231135, 225384.5645899623 6764490.995302004, 225390.2847018988 6764431.470382175, 225360.37584377156 6764428.467404552, 225354.65572295903 6764487.99231135))",Other,Mixed,mixed,senfseidl
69,2018,"POLYGON ((243831.85958715464 6766401.574234888, 243829.00223771896 6766431.340684192, 243858.9086622091 6766434.337855554, 243861.76600711816 6766404.571399828, 243831.85958715464 6766401.574234888))",Other,Mixed,mixed,senfseidl
70,2018,"POLYGON ((243853.19392215507 6766493.87076603, 243883.1003517821 6766496.867940754, 243888.81508278166 6766437.335017438, 243858.9086622091 6766434.337855554, 243853.19392215507 6766493.87076603))",Other,Mixed,mixed,senfseidl
71,2018,"POLYGON ((235108.91320163786 6765737.348937419, 235138.82080075447 6765740.348901758, 235141.67955832637 6765710.5843234025, 235111.7719636988 6765707.58436553, 235108.91320163786 6765737.348937419))",Other,Broadleaf,broadleaf,senfseidl
72,2018,"POLYGON ((235234.26104561437 6765689.819542189, 235231.4023183927 6765719.584140315, 235261.3098971427 6765722.584060384, 235258.4511575268 6765752.348664604, 235288.35873679747 6765755.348581688, 235285.49998478784 6765785.113192, 235315.40756457974 6765788.113106099, 235323.9837564907 6765698.819254641, 235234.26104561437 6765689.819542189))",Other,Mixed,"nr,broadleaf",senfseidl
74,2018,"POLYGON ((216773.23347443982 6764226.968332672, 216743.32335908164 6764223.962522052, 216737.5999556369 6764283.483669568, 216797.4201999036 6764289.495307653, 216800.28190139995 6764259.734721011, 216770.37178571464 6764256.728913223, 216773.23347443982 6764226.968332672))",Other,Broadleaf,broadleaf,senfseidl
75,2018,"POLYGON ((216555.2773709658 6764295.209063645, 216552.41559984355 6764324.969596861, 216612.23591070896 6764330.981373867, 216615.09767301515 6764301.22082753, 216555.2773709658 6764295.209063645))",Other,Mixed,"broadleaf,conifers",senfseidl
76,2018,"POLYGON ((216552.41559984355 6764324.969596861, 216492.59527265368 6764318.957782294, 216486.87166122545 6764378.478821067, 216516.78183567734 6764381.484746169, 216519.64364557527 6764351.724220456, 216549.5538115375 6764354.730129604, 216552.41559984355 6764324.969596861))",Other,Mixed,"broadleaf,conifers",senfseidl
77,2018,"POLYGON ((237488.3172107495 6767057.85746581, 237398.59488926892 6767048.859172887, 237395.73586325126 6767078.624248838, 237365.82841034047 6767075.624792473, 237360.11029870377 6767135.1549304575, 237419.92521864828 6767141.153859566, 237422.78427385783 6767111.388777815, 237452.69172338722 6767114.388221715, 237455.5507572235 6767084.623133172, 237485.4581982852 6767087.622561144, 237488.3172107495 6767057.85746581))",Other,Mixed,"broadleaf,mixed,nr",senfseidl
78,2018,"POLYGON ((205958.8760751419 6764882.284012681, 205956.0118199063 6764912.042218801, 205896.18814073084 6764906.02313498, 205890.45956064184 6764965.5395192625, 205920.37141106772 6764968.549079104, 205914.64277030522 6765028.065474691, 205944.5546253642 6765031.075038417, 205947.41895004 6765001.316834242, 206037.15447723807 6765010.345449376, 206040.0187713962 6764980.587224842, 206099.84242674022 6764986.606241541, 206105.57094544137 6764927.089764533, 206045.74730763835 6764921.070774326, 206048.61154972157 6764891.3125483375, 206018.6997289993 6764888.303045815, 206015.83548253158 6764918.06126518, 205985.9236532878 6764915.051746672, 205988.7879041392 6764885.293533928, 205958.8760751419 6764882.284012681))",Other,Mixed,"broadleaf,fir, spruce",senfseidl
79,2018,"POLYGON ((212262.86703178537 6765906.967830618, 212322.689054486 6765912.983061226, 212328.41607901623 6765853.463831323, 212268.5940739956 6765847.44862709, 212262.86703178537 6765906.967830618))",Other,Broadleaf,broadleaf,senfseidl
80,2018,"POLYGON ((214485.82680544414 6766971.809977635, 214515.7376282157 6766974.817059026, 214521.46494477667 6766915.296851108, 214611.1973619549 6766924.317999371, 214619.78816758323 6766835.0376251675, 214470.23418520857 6766820.002429875, 214467.37057834672 6766849.762522084, 214437.45976519212 6766846.755448247, 214431.73249089095 6766906.275618269, 214461.64331293182 6766909.282705278, 214458.7796543782 6766939.042796267, 214488.69047678413 6766942.049880466, 214485.82680544414 6766971.809977635))",Other,Conifer,"fir, spruce",senfseidl
81,2018,"POLYGON ((214480.09941107186 6767031.33017076, 214482.96311687352 6767001.570074399, 214453.05228557857 6766998.562977025, 214450.188575332 6767028.323066798, 214420.277735513 6767025.315953437, 214414.55025443266 6767084.836118596, 214474.37194777554 6767090.850362271, 214477.23568803945 6767061.090266718, 214507.14652414736 6767064.097367871, 214510.01024273376 6767034.337265324, 214480.09941107186 6767031.33017076))",Other,Conifer,"fir, spruce",senfseidl
